category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Vali và Túi du lịch đa năng,An Nhiên.2702,112.000 ₫,-50%,56000,(31),4.8,Túi Đựng Đồ Lót Du Lịch Đa Năng Tiện Dụng Sức Chứa Lớn - Túi Đựng Mỹ Phẩm Du Lịch,138 Đã bán,https://www.lazada.vn/products/pdp-i2602055952.html
Dụng cụ chăm sóc Sắc đẹp,An Nhiên.2702,130.000 ₫,-48%,67600,(28),4.9,Kệ Đựng Mỹ Phẩm Mẫu Mới Cỡ Lớn - Đồ Trang Điểm Để Bàn Xoay 360  Sang Trọng Cao Cấp - Mẫu Mới Cực Đẹp,107 Đã bán,https://www.lazada.vn/products/pdp-i2603121554.html
Dụng cụ chăm sóc Sắc đẹp,OCE-giadungtienich,105.000 ₫,-36%,67200,(28),4.9,Túi Đựng Mỹ Phẩm Đồ Trang Điểm Trang Sức JYoohome Túi Đựng Đồ Dùng Du Lịch Trong Suốt Chống Thấm Nước,148 Đã bán,https://www.lazada.vn/products/pdp-i2486921387.html
Trang điểm,MICOMI Cosmetics,258.000 ₫,-50%,129000,(44),4.8,"Bộ Trang Điểm Đầy Đủ 15 Món Set Trang Điểm Makeup Từ A-Z Đi Tiệc Đi Chơi Đi Làm MICOMI Cosmetics Kem Nền, Phấn Phủ, Phấn Mắt, Mascara, Chì Kẻ Mày, Kẻ Mắt, Son Môi",184 Đã bán,https://www.lazada.vn/products/pdp-i1549223017.html
Vali và Túi du lịch đa năng,SUKA HOUSE 999,,,,(52),4.8,Túi Đựng Mỹ Phẩm Đồ Trang Điểm WASHBAG Túi Đựng Đồ Cá Nhân Du Lịch Chống Thấm Nước A2421,243 Đã bán,https://www.lazada.vn/products/pdp-i2527457921.html
Chăm sóc cá nhân,Tuyết An Shop 1989,,,,,,Nước rửa chén Mỹ Hảo 1.5 kg trà xanh và chanh,,https://www.lazada.vn/products/pdp-i2641698306.html
Trang điểm,Mỹ Phẩm Thuý Hường,199.000 ₫,-18%,163180,(132),4.9,Bộ Trang Điểm/Bộ trang điểm Đầy Đủ Chính Hãng Cho Người Mới [Bộ 22 món E5] - Lamelia 22 Sản Phẩm Bộ E5,451 Đã bán,https://www.lazada.vn/products/pdp-i2421570043.html
Dụng cụ chăm sóc Sắc đẹp,SỈ LẺ GIA DỤNG 966(Sơn Liễu),,,,,,Túi Trang Điểm/Hộp đựng trang sức mini có gương và đèn led đa năng đựng mỹ phẩm thiết/Hộp đựng đồ trang điểm/hộp mĩ phẩm,,https://www.lazada.vn/products/pdp-i3138967222.html
Dụng cụ chăm sóc Sắc đẹp,Gia dụng Tuki248,60.000 ₫,-30%,42000,(3),5.0,"Khay nhựa 3 tầng đựng mỹ phẩm, đựng đồ đa năng",15 Đã bán,https://www.lazada.vn/products/pdp-i2517774664.html
Trang điểm,Hangnga Beauty Store,190.000 ₫,-50%,95000,(7),4.9,"[Bộ 18sp E5] Bộ make up, mỹ phẩm trang điểm, xịt khoá make-up, Kem nền, phấn má, phấn phủ, bộ cọ, tạo khối, che khuyết điểm, kẹp bấm mi, phấn mắt, kem lót, chuốt mi mascara, kẻ mắt, kẻ mày...",28 Đã bán,https://www.lazada.vn/products/pdp-i2685257652.html
Nhập vai Phục trang & Dạ tiệc,CleverOfficial Store,373.830 ₫,-41%,220559,(21),5.0,⚡Miễn Phí Vận Chuyển⚡Bộ mỹ phẩm đồ chơi trang điểm 33 món không độc hại thích hợp cho bé,95 Đã bán,https://www.lazada.vn/products/pdp-i2424717349.html
Trang điểm,Hoa Bồ Công Anh Store,99.000 ₫,-30%,69300,(545),4.9,[SALE] Set Trang Điểm PRETTY MAKEUP HANRU 4 Món set trang điểm tiện dụng đa năng cho người mới bắt đầu,1.9K Đã bán,https://www.lazada.vn/products/pdp-i2525214388.html
Dụng cụ chăm sóc Sắc đẹp,ACB phát,220.000 ₫,-34%,145200,(13),4.6,"Cốp Vải Chống Thấm Nước_Cốp Vali LV Mini Đựng Dụng Cụ Phun Xăm, Spa, Nail, Túi Đựng Đồ Makeup Cốp Trang Điểm Cá Nhân_Túi đồ dùng cá nhân & mỹ phẩm",44 Đã bán,https://www.lazada.vn/products/pdp-i2235256831.html
Tủ chứa & Sắp xếp đồ,GIA DỤNG SỈ TPHCM,198.000 ₫,-50%,99000,(2),5.0,KỆ TỦ ĐỰNG MỸ PHẨM ĐỒ TRANG ĐIỂM MINI TRONG SUỐT 4 TẦNG TASHUAN - KỆ NHỰA ĐỰNG MỸ PHẨM 4 TẦNG NGĂN KÉO TIỆN DỤNG,20 Đã bán,https://www.lazada.vn/products/pdp-i1983027549.html
Nhập vai Phục trang & Dạ tiệc,A_hoco__Store,373.830 ₫,-44%,209344,(2),5.0,【giao hàng trong vòng 24h】Bộ mỹ phẩm đồ chơi trang điểm 33 món không độc hại thích hợp cho bé,6 Đã bán,https://www.lazada.vn/products/pdp-i2664089214.html
Trang điểm,LPShop01,134.000 ₫,-48%,69680,(3),5.0,"Full Box - Set Trang Điểm HANRU 4 Món Tiện Dụng, Đầy Đủ, Cơ Bản Cho Người Mới Bắt Đầu",9 Đã bán,https://www.lazada.vn/products/pdp-i2965101592.html
Vali và Túi du lịch đa năng,Hala Thế Giới Gia Dụng,85.000 ₫,-6%,79900,(13),4.7,"Túi Đựng Mỹ Phẩm Da PU Living C Không Thấm Nước, Túi đựng Đồ Trang Điểm Phụ Nữ Cầm Tay",46 Đã bán,https://www.lazada.vn/products/pdp-i2687697437.html
Vali và Túi du lịch đa năng,An An Nguyễn Store,75.000 ₫,-25%,56250,(42),5.0,"Túi Lưới Đựng Mỹ Phẩm Trang Điểm , Đồ Dùng Du Lịch Hình Hộp (Nhiều Kích Cỡ)",157 Đã bán,https://www.lazada.vn/products/pdp-i2309771080.html
Trang điểm,Rose_Giftbox,310.000 ₫,-37%,195300,,,Bộ trang điểm cá nhân/bộ trang điểm đi tiệc/set makeup/ trọn bộ trang điểm/ bộ makeup cá nhân/ Bộ trang điểm 14 món,,https://www.lazada.vn/products/pdp-i2861534236.html
,,,,,,,Nước Hoa Khô Nicor Dạng Sáp Lưu Hương Thơm Lâu Cho Nam Và Nữ,19.3K Đã bán,https://www.lazada.vn/products/pdp-i1755131718.html
Dụng cụ chăm sóc Sắc đẹp,TI DO,,,,(141),4.9,HOÀN TIỀN 20% - Khay Kệ Đựng Mỹ Phẩm Trang Điểm Trong Suốt Để Bàn Cao Cấp Loại Dày TI DO,558 Đã bán,https://www.lazada.vn/products/pdp-i250052812.html
Vali và Túi du lịch đa năng,Global Merch Park,363.000 ₫,-31%,250470,(115),4.9,Túi Đựng Mỹ Phẩm Bằng Da PU Dành Cho Nữ Hộp Đựng Đồ Trang Điểm Du Lịch Di Động Đa Chức Năng Có Khóa Kéo - Hộp Đựng Đồ,1.3K Đã bán,https://www.lazada.vn/products/pdp-i2616085151.html
Dụng cụ chăm sóc Sắc đẹp,BOSS BIG SHOP,29.000 ₫,-35%,18850,(81),4.8,"Kệ đựng mỹ phẩm, Kệ để đồ đa năng 3 Tầng 2 ngăn kéo để bàn ô tiện ích, Chất liệu nhựa ABS an toàn khi sử dụng",266 Đã bán,https://www.lazada.vn/products/pdp-i2067585727.html
Dụng cụ chăm sóc Sắc đẹp,Mon-Basic Túi mỹ phẩm,175.000 ₫,-38%,108500,,,Túi đựng mỹ phẩm đồ trang điểm du lịch nhiều ngăn tiện dụng,,https://www.lazada.vn/products/pdp-i2412238842.html
Vali và Túi du lịch đa năng,Polo R&L,89.000 ₫,-36%,56960,(6),5.0,ARCTIC HUNTER túi đựng đồ makeup túi đựng đồ trang điểm túi mỹ phẩm Túi trang điểm xách tay in Tarp du lịch của phụ nữ zippered Túi đựng đồ vệ sinh cá nhân Túi lưu trữ đa chức năng,28 Đã bán,https://www.lazada.vn/products/pdp-i2977707564.html
Nhập vai Phục trang & Dạ tiệc,HENGHOME Vietnam,170.190 ₫,-44%,95306,(1),5.0,HENGHOME 1 bộ không độc hại cô gái trang điểm đạo cụ trẻ em giả vờ chơi mô phỏng mỹ phẩm đồ chơi Kit với Eyeshadow Palette và son môi Applicator,10 Đã bán,https://www.lazada.vn/products/pdp-i3066444242.html
Vali và Túi du lịch đa năng,SOHOGO,,,,(3),4.3,"Túi lưới đựng đồ cá nhân mini -Túi đựng mỹ phẩm, phụ kiện mini gọn nhẹ Túi vải lưới đựng đồ đa năng có quai xách -Túi du lịch nhỏ chống ẩm, siêu nhẹ -Túi đựng đồ lưới siêu mỏng – gập gọn tiện lợi -Túi mini đựng đồ tiện dụng",10 Đã bán,https://www.lazada.vn/products/pdp-i2897958602.html
Nhập vai Phục trang & Dạ tiệc,homeappliancescollectionstore,351.400 ₫,-33%,235438,(18),5.0,Bộ mỹ phẩm đồ chơi trang điểm 33 món không độc hại thích hợp cho bé,57 Đã bán,https://www.lazada.vn/products/pdp-i2394087293.html
Dụng cụ chăm sóc Sắc đẹp,Shop hàng khuyến mãi Nguyễn Quý,70.000 ₫,-44%,39200,(1),5.0,"Túi Đựng Mỹ Phẩm, Túi đựng đồ trang điểm, đồ cá nhân 2 tầng phong cách hàn quốc du lịch chống nước",,https://www.lazada.vn/products/pdp-i3185493399.html
Trang điểm,Mỹ Phẩm Thuý Hường,99.000 ₫,-1%,98010,(19),4.5,Bộ Trang Điểm [8 Món ] Xinh Xắn Lameila Dành Cho Người Mới Tập Makuep(Chính Hãng) Bộ 8 món xinh xắn,58 Đã bán,https://www.lazada.vn/products/pdp-i2427027901.html
Vali và Túi du lịch đa năng,Kho Sỉ 247,,,,(12),4.7,"Túi Ví Đựng Băng Vệ Sinh, Son Môi, Mỹ Phẩm - Túi Mini Đựng Đồ Cá Nhân Chống Thấm Nước",49 Đã bán,https://www.lazada.vn/products/pdp-i2491265780.html
Nhập vai Phục trang & Dạ tiệc,smart family store,373.830 ₫,-47%,198129,,,【siêu rẻ】Bộ mỹ phẩm đồ chơi trang điểm 33 món không độc hại thích hợp cho bé,,https://www.lazada.vn/products/pdp-i2663477298.html
Tủ chứa & Sắp xếp đồ,DELI LIFESTYLE VIETNAM,260.750 ₫,-39%,159057,(15),4.9,Kệ đựng mỹ phẩm nhựa nhiều tầng để bàn trong suốt Deli kệ đưng đồ trang điểm hộp lưu trữ văn phòng phẩm VS,63 Đã bán,https://www.lazada.vn/products/pdp-i2223652863.html
,,,,,,,Túi Đựng Mỹ Phẩm Hoạt hình 6 Màu phong cách Nhật Bản đồ trang điểm du lịch Túi giặt/Hộp lưu trữ/Túi lưu trữ,3.1K Đã bán,https://www.lazada.vn/products/pdp-i2494571851.html
Dụng cụ chăm sóc Sắc đẹp,GIA DỤNG AN NHIÊN .2702,,,,,,"Tủ Đựng Mỹ Phẩm 4 Tầng HOKORI Cao Cấp Nhựa Việt Nhật, Kệ Đựng Mỹ Phẩm, Đồ Trang Điểm",6 Đã bán,https://www.lazada.vn/products/pdp-i2542625046.html
Dụng cụ chăm sóc Sắc đẹp,Tạp hoá đồ dùng1102,110.000 ₫,-19%,89100,(1),5.0,"Kệ đựng mỹ phẩm nhựa 4 tầng để bàn tặng kèm sticker, khay đựng đồ trang điểm nhiều ngăn , decor bàn học, đựng bút",,https://www.lazada.vn/products/pdp-i2857928472.html
Trang điểm,Mỹ Phẩm Thuý Hường,134.500 ₫,-14%,115670,,,Bộ Trang Điểm Makuep Cơ Bản Đầy Đủ [12 Món Z2] Bộ Sản Phẩm Makep Của Nữ Dành Cho Người Mới Tập Trang Điểm Mỹ Phẩm Cosmetic,,https://www.lazada.vn/products/pdp-i2661009925.html
Tủ chứa & Sắp xếp đồ,SUKA HOUSE 999,,,,,,"Khay Đựng Nhựa Mỹ Phẩm, Khay Đựng Đồ Trong Suốt Có Quai, Khay Đựng Đồ Đa Năng",,https://www.lazada.vn/products/pdp-i2825888222.html
Tủ chứa & Sắp xếp đồ,Gia Dụng Tiện Ích EzyHome,120.000 ₫,-50%,60000,,,"Kệ Nhựa Đựng Mỹ Phẩm 3 Tầng 2 Ngăn Kéo - Hộp Nhựa Chia Ngăn Đựng Cọ, Son, Vật Dụng Cá Nhân Nhỏ Gọn - Kệ Trang Điểm Mini Tiện Lợi Cho Bàn Trang Điểm",,https://www.lazada.vn/products/pdp-i3116906542.html
